Fecha,Temperatura [°C],Registro de Lluvia [mm],Velocidad de Viento [Km/h],Rafaga de Viento [km/h],Temperatura de suelo [°C]
25-10-2019 02:00,16.4033695519473,0,11.6878608,23.2147872,20.4
25-10-2019 02:10,16.3127212794531,0,11.8487952,23.3556048,20.3
25-10-2019 02:20,16.1918569161275,0,10.1992176,21.5652096,20.2
25-10-2019 02:30,16.1414967647418,0,8.1875376,19.312128,20.2
25-10-2019 02:40,16.1314247344647,0,9.5152464,19.5535296,20.1
25-10-2019 02:50,15.9904163105848,0,8.247888,17.5418496,20.1
25-10-2019 03:00,15.8292638261507,0,6.2563248,12.3517152,20
25-10-2019 03:10,15.627823220608,0,5.4717696,10.9435392,20
25-10-2019 03:20,15.3961665242339,0,4.3653456,8.6099904,19.9
25-10-2019 03:30,15.2350140397998,0,4.5866304,8.2881216,19.9
25-10-2019 03:40,15.0940056159199,0,1.7501616,4.5665136,19.8
25-10-2019 03:50,14.9630692223172,0,2.3335488,4.3049952,19.8
25-10-2019 04:00,14.7717006470517,0,1.3277088,2.6554176,19.7
25-10-2019 04:10,14.4493956781834,0,1.6495776,2.8767024,19.7
25-10-2019 04:20,14.0968746184837,0,1.3880592,0.8851392,19.6
25-10-2019 04:30,13.7947137101697,0,1.408176,0.603504,19.6
25-10-2019 04:40,13.5026248321328,0,1.3277088,2.5347168,19.5
25-10-2019 04:50,13.3213282871444,0,2.3938992,3.2388048,19.5
25-10-2019 05:00,13.1702478329874,0,2.4944832,2.9974032,19.4
25-10-2019 05:10,13.1198876816018,0,2.0921472,3.3997392,19.4
25-10-2019 05:20,13.1098156513246,0,2.112264,3.0577536,19.3
25-10-2019 05:30,13.0795995604932,0,3.0979872,4.3854624,19.3
25-10-2019 05:40,12.9788792577219,0,2.0519136,3.1985712,19.2
25-10-2019 05:50,12.8277988035649,0,2.3737824,3.4399728,19.2
25-10-2019 06:00,12.6263581980222,0,2.2329648,3.7819584,19.1
25-10-2019 06:10,12.5155658649738,0,2.3335488,3.0778704,19.1
25-10-2019 06:20,12.304053229154,0,2.8364688,4.4055792,19
25-10-2019 06:30,12.1932608961055,0,1.3679424,2.0317968,19
25-10-2019 06:40,12.2033329263826,0,1.911096,3.0577536,18.9
25-10-2019 06:50,12.1831888658284,0,2.5146,4.4860464,18.9
